tool_id,category,category_id,category_name,description
8867,,0,nan,nan
5058,,0,nan,nan
1471,,0,nan,nan
3328,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
7978,,0,nan,nan
437,,0,nan,nan
128,,0,nan,nan
4225,,0,nan,nan
7274,,0,nan,nan
3403,,0,nan,nan
5433,,0,nan,nan
3278,,0,nan,nan
5447,,0,nan,nan
4899,,0,nan,nan
4146,,0,nan,nan
846,,0,nan,nan
4417,,0,nan,nan
1329,0.0,0,3D Digital Replicas,Outputs 3D digital models or simulations of real-world objects.
8446,,0,nan,nan
4655,,0,nan,nan
2616,,0,nan,nan
3,,0,nan,nan
8202,,0,nan,nan
8526,1.0,1,Processed Data,Outputs datasets.
8868,,0,nan,nan
1197,,0,nan,nan
8219,,0,nan,nan
723,,0,nan,nan
6970,,0,nan,nan
8869,,0,nan,nan
8870,1.0,1,Processed Data,Outputs datasets.
1047,,0,nan,nan
4242,10.0,10,Operational Outputs,"Provides network configurations, management plans, or support-related documentation."
8578,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
8720,1.0,1,Processed Data,Outputs datasets.
8233,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
5333,,0,nan,nan
1905,1.0,1,Processed Data,Outputs datasets.
4694,,0,nan,nan
7985,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
6032,,0,nan,nan
2469,,0,nan,nan
429,,0,nan,nan
4583,,0,nan,nan
7411,,0,nan,nan
1172,,0,nan,nan
6709,,0,nan,nan
8200,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
974,5.0,5,Software Solutions,"Generates code, software patches, testing results, or programming-related documents."
3106,,0,nan,nan
8857,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
5609,,0,nan,nan
2750,,0,nan,nan
3940,,0,nan,nan
2541,,0,nan,nan
6374,,0,nan,nan
3139,,0,nan,nan
