name,task,url,price,saves,likes,stars,period
Renovy,Interior design,https://apps.apple.com/us/app/ai-interior-design-renovy/id6473541903?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $4.99/mo,23,N/A,N/A,january
PICDA,Visual journals,https://apps.apple.com/us/app/picda/id6470206073?ref=taaft&utm_source=taaft&utm_medium=referral,Free,15,N/A,N/A,january
Insprints,Custom clothing,https://www.insprints.art/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,37,N/A,N/A,january
Align AI,Conversation analysis,https://tryalign.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,18,N/A,N/A,january
Better Assist,Customer engagement,https://www.betterassist.online/?ref=taaft&utm_source=taaft&utm_medium=referral,From $9/mo,11,N/A,N/A,january
Article Summaries,Article summaries,https://chat.openai.com/g/g-Y3KHe736A-article-summaries?ref=taaft&utm_source=taaft&utm_medium=referral,Free,1,N/A,N/A,january
ReWriter Pro,Text rewriting,https://chat.openai.com/g/g-ih34dks0y-rewriter-pro?ref=taaft&utm_source=taaft&utm_medium=referral,Free,3,N/A,N/A,january
GPT-EW,ChatGPT for browsers,https://gpt-ew.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,N/A,N/A,N/A,january
MindmapAI,Mind mapping,https://mindmapai.pro/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,january
OscarAI,Writing,https://oscarai.synthminds.in/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $1.99/mo,N/A,N/A,N/A,january
Artful,Image generation,https://play.google.com/store/apps/details?id=com.projecthit.artful&ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,january
Property Listings AI,Property listings,https://propertylistingsai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,$9.99/mo,N/A,N/A,N/A,january
SpeechtoTextAI,Audio transcription,https://speechtotextai.vercel.app/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,january
KcalPal,Nutritional advice,https://t.me/calGPTBot?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,N/A,N/A,N/A,january
WhisperUI,Audio transcription,https://whisperui.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,N/A,N/A,N/A,january
EduEase,Learning,https://www.eduease.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,january
Stunn Video,Video generation,https://www.stunnvideo.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,5.0,january
Rizzpad,Online dating chat suggestions,https://www.metasoma.ai/rizzpad?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,N/A,N/A,N/A,january
Understanding Business Intelligence,Business intelligence learning,https://chat.openai.com/g/g-CQ1iUnqmW-understanding-business-intelligence?ref=taaft&utm_source=taaft&utm_medium=referral,Free,2,N/A,N/A,january
Business Intelligence GPT,Data analysis,https://chat.openai.com/g/g-LvokKjsdf-business-intelligence?ref=taaft&utm_source=taaft&utm_medium=referral,Free,1,N/A,N/A,january
WizGum,Online business development,https://chat.openai.com/g/g-TYY9R5MTO-wizgum-1mio-business-in-12m?ref=taaft&utm_source=taaft&utm_medium=referral,Free,3,N/A,N/A,january
Strategy Planner,Strategic planning,https://chat.openai.com/g/g-6j9uKWnRh-strategy-planner?ref=taaft&utm_source=taaft&utm_medium=referral,Free,2,N/A,N/A,january
LinkedIn Content Genie,Linkedin content,https://chat.openai.com/g/g-5P7Ylcn24-linkedin-content-genie?ref=taaft&utm_source=taaft&utm_medium=referral,Free,N/A,N/A,N/A,january
Document Summarizer by Reportifi.ai,Summaries,https://chat.openai.com/g/g-B3fVwwApQ-document-summarizer-by-reportifi-ai?ref=taaft&utm_source=taaft&utm_medium=referral,Free,N/A,N/A,N/A,january
Legal Law Document Generator,Legal documents drafting,https://chat.openai.com/g/g-bIkn68O51-legal-law-document-generator?ref=taaft&utm_source=taaft&utm_medium=referral,Free,2,N/A,N/A,january
Dungeon Imagineer,Game visualization,https://chat.openai.com/g/g-HzdFFi0jf-dungeon-imagineer?ref=taaft&utm_source=taaft&utm_medium=referral,Free,N/A,N/A,N/A,january
DreamGF AI Girlfriend,Virtual girlfriend,https://aigirlfriend-chat.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $6.99,12,N/A,N/A,january
AI For Contents,Content generation,https://aiforcontents.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $9/mo,24,N/A,N/A,january
